Id,Tag,Weight
1,O,1.2846318901855864
2,O,1.2846318901855864
3,O,1.2846318901855864
5,O,1.2846318901855864
6,O,1.2846318901855864
7,O,1.2846318901855864
8,O,1.2846318901855864
9,O,1.2846318901855864
11,O,1.2846318901855864
12,O,1.2846318901855864
14,O,1.2846318901855864
15,O,1.2846318901855864
16,O,1.2846318901855864
17,O,1.2846318901855864
19,O,1.2846318901855864
20,O,1.2846318901855864
22,O,1.2846318901855864
23,O,1.2846318901855864
25,B-LOCAL,6.3568532379661455
26,I-LOCAL,7.191650935589117
27,I-LOCAL,7.191650935589117
28,I-LOCAL,7.191650935589117
29,O,1.2846318901855864
30,B-TEMPO,5.805356574469227
31,I-TEMPO,4.961169136496416
32,I-TEMPO,4.961169136496416
33,I-TEMPO,4.961169136496416
34,I-TEMPO,4.961169136496416
35,O,1.2846318901855864
37,O,1.2846318901855864
38,O,1.2846318901855864
39,O,1.2846318901855864
40,O,1.2846318901855864
42,O,1.2846318901855864
43,O,1.2846318901855864
44,O,1.2846318901855864
45,O,1.2846318901855864
46,O,1.2846318901855864
48,O,1.2846318901855864
49,O,1.2846318901855864
50,O,1.2846318901855864
52,O,1.2846318901855864
53,O,1.2846318901855864
54,O,1.2846318901855864
56,O,1.2846318901855864
57,O,1.2846318901855864
58,O,1.2846318901855864
59,O,1.2846318901855864
60,O,1.2846318901855864
62,O,1.2846318901855864
63,O,1.2846318901855864
64,O,1.2846318901855864
66,O,1.2846318901855864
67,O,1.2846318901855864
68,O,1.2846318901855864
69,O,1.2846318901855864
71,O,1.2846318901855864
72,O,1.2846318901855864
74,O,1.2846318901855864
75,O,1.2846318901855864
77,O,1.2846318901855864
78,O,1.2846318901855864
80,O,1.2846318901855864
81,O,1.2846318901855864
83,O,1.2846318901855864
84,O,1.2846318901855864
85,O,1.2846318901855864
86,O,1.2846318901855864
88,O,1.2846318901855864
89,O,1.2846318901855864
90,O,1.2846318901855864
92,O,1.2846318901855864
93,O,1.2846318901855864
94,O,1.2846318901855864
95,O,1.2846318901855864
97,O,1.2846318901855864
98,O,1.2846318901855864
100,O,1.2846318901855864
101,O,1.2846318901855864
102,O,1.2846318901855864
104,O,1.2846318901855864
105,O,1.2846318901855864
106,O,1.2846318901855864
107,O,1.2846318901855864
